Test Case,Metric,Mean,Std Dev
94,recall,0.7111,0.1893
94,f1,0.6076,0.0799
94,accuracy,0.4408,0.0780
100,precision,1.0000,0.0000
100,recall,1.0000,0.0000
100,f1,1.0000,0.0000
100,accuracy,1.0000,0.0000
106,precision,0.8161,0.3363
106,recall,0.9773,0.1490
106,f1,0.8430,0.3041
106,accuracy,0.8161,0.3363
101,precision,1.0000,0.0000
101,recall,0.9644,0.0672
101,f1,0.9806,0.0370
101,accuracy,0.9644,0.0672
98,precision,1.0000,0.0000
98,recall,0.9722,0.0520
98,f1,0.9852,0.0277
98,accuracy,0.9722,0.0520
99,precision,0.3444,0.0356
99,recall,1.0000,0.0000
99,f1,0.5114,0.0359
99,accuracy,0.3444,0.0356
117,precision,0.7311,0.2880
117,recall,0.8074,0.1646
117,f1,0.7037,0.1305
117,accuracy,0.5585,0.1566
113,precision,0.5736,0.0142
113,recall,1.0000,0.0000
113,f1,0.7289,0.0108
113,accuracy,0.5736,0.0142
97,precision,1.0000,0.0000
97,recall,0.9559,0.1101
97,f1,0.9728,0.0824
97,accuracy,0.9559,0.1101
102,precision,0.9773,0.1490
102,recall,0.9141,0.1569
102,f1,0.9431,0.1494
102,accuracy,0.9141,0.1569
116,precision,1.0000,0.0000
116,recall,1.0000,0.0000
116,f1,1.0000,0.0000
116,accuracy,1.0000,0.0000
104,precision,0.7798,0.0649
104,recall,0.7750,0.0483
104,f1,0.7745,0.0320
104,accuracy,0.6331,0.0415
121,precision,0.9589,0.0919
121,recall,0.9432,0.0622
121,f1,0.9466,0.0526
121,accuracy,0.9032,0.0918
119,precision,1.0000,0.0000
119,recall,0.9343,0.1523
119,f1,0.9579,0.1035
119,accuracy,0.9343,0.1523
124,precision,0.8270,0.1503
124,recall,0.9333,0.0943
124,f1,0.8695,0.1015
124,accuracy,0.7836,0.1620
114,precision,1.0000,0.0000
114,recall,1.0000,0.0000
114,f1,1.0000,0.0000
114,accuracy,1.0000,0.0000
131,precision,0.8256,0.3441
131,recall,0.9778,0.1474
131,f1,0.8437,0.3255
131,accuracy,0.8256,0.3441
111,precision,0.7424,0.0915
111,recall,0.8087,0.2099
111,f1,0.7508,0.0892
111,accuracy,0.6094,0.1171
123,precision,0.6075,0.1401
123,recall,0.8948,0.1919
123,f1,0.7054,0.1092
123,accuracy,0.5524,0.0885
128,precision,0.3057,0.2398
128,recall,0.9556,0.2061
128,f1,0.4264,0.2323
128,accuracy,0.3057,0.2398
126,precision,0.9068,0.0431
126,recall,0.9793,0.0657
126,f1,0.9395,0.0389
126,accuracy,0.8882,0.0619
129,precision,0.6862,0.1535
129,recall,0.9056,0.1921
129,f1,0.7460,0.1324
129,accuracy,0.6094,0.1399
125,precision,1.0000,0.0000
125,recall,0.9956,0.0295
125,f1,0.9975,0.0164
125,accuracy,0.9956,0.0295
136,precision,0.8530,0.1306
136,recall,0.9643,0.1615
